source,domain,chart,region,date,position,title,artist,url,scraped_at
billboard,billboard.com,hot-100,,2024-01-06,1,Rockin' Around The Christmas Tree,Brenda Lee,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,2,All I Want For Christmas Is You,Mariah Carey,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,3,Jingle Bell Rock,Bobby Helms,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,4,Last Christmas,Wham!,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,5,A Holly Jolly Christmas,Burl Ives,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,6,It's The Most Wonderful Time Of The Year,Andy Williams,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,7,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,8,Feliz Navidad,Jose Feliciano,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,9,Lovin On Me,Jack Harlow,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,10,Sleigh Ride,The Ronettes,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,11,Santa Tell Me,Ariana Grande,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,12,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,13,Underneath The Tree,Kelly Clarkson,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,14,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,15,Christmas (Baby Please Come Home),Darlene Love,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,16,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,17,Deck The Halls,Nat King Cole,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,18,Blue Christmas,Elvis Presley,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,19,Cruel Summer,Taylor Swift,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,20,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,21,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,22,Run Rudolph Run,Chuck Berry,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,23,It's Beginning To Look A Lot Like Christmas,Michael Buble,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,24,Greedy,Tate McRae,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,25,Little Saint Nick,The Beach Boys,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,26,Wonderful Christmastime,Paul McCartney,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,27,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,28,Please Come Home For Christmas,Eagles,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,29,Paint The Town Red,Doja Cat,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,30,Santa Claus Is Comin' To Town,Jackson 5,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,31,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,32,Water,Tyla,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,33,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,34,This Christmas,Donny Hathaway,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,35,Agora Hills,Doja Cat,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,36,Last Night,Morgan Wallen,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,37,Mistletoe,Justin Bieber,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,38,Happy Holiday / The Holiday Season,Andy Williams,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,39,Christmastime Is Here,Vince Guaraldi Trio,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,40,Like It's Christmas,Jonas Brothers,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,41,Have Yourself A Merry Little Christmas,Michael Buble,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,42,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,43,I Saw Mommy Kissing Santa Claus,Jackson 5,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,44,Thinkin' Bout Me,Morgan Wallen,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,45,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,46,Merry Christmas,Ed Sheeran & Elton John,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,47,Fast Car,Luke Combs,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,48,Lose Control,Teddy Swims,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,49,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,50,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,51,Lil Boo Thang,Paul Russell,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,52,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,53,FTCU,Nicki Minaj,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,54,Stick Season,Noah Kahan,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,55,Everybody,Nicki Minaj Featuring Lil Uzi Vert,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,56,White Horse,Chris Stapleton,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,57,First Person Shooter,Drake Featuring J. Cole,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,58,Used To Be Young,Miley Cyrus,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,59,Houdini,Dua Lipa,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,60,Good Good,"Usher, Summer Walker & 21 Savage",,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,61,World On Fire,Nate Smith,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,62,La Diabla,Xavi,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,63,Pretty Little Poison,Warren Zeiders,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,64,On My Mama,Victoria Monet,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,65,My Love Mine All Mine,Mitski,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,66,Exes,Tate McRae,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,67,Surround Sound,JID Featuring 21 Savage & Baby Tate,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,68,Monaco,Bad Bunny,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,69,Strangers,Kenya Grace,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,70,You Broke My Heart,Drake,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,71,Get Him Back!,Olivia Rodrigo,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,72,IDGAF,Drake Featuring Yeat,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,73,Harley Quinn,Fuerza Regida & Marshmello,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,74,Wild Ones,jessie murph & Jelly Roll,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,75,Bellakeo,Peso Pluma & Anitta,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,76,Truck Bed,HARDY,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,77,Save Me The Trouble,Dan + Shay,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,78,Jingle Bells,Meghan Trainor,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,79,La Victima,Xavi,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,80,Where The Wild Things Are,Luke Combs,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,81,Qlona,Karol G & Peso Pluma,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,82,You're Losing Me (From The Vault),Taylor Swift,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,83,500lbs,Lil Tecca,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,84,The Painter,Cody Johnson,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,85,Never Lose Me,Flo Milli,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,86,Burn It Down,Parker McCollum,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,87,Winter Wonderland,Chloe,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,88,Segun Quien,Maluma & Carin Leon,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,89,Needle,Nicki Minaj Featuring Drake,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,90,DJ Play A Christmas Song,Cher,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,91,Mind On You,George Birge,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,92,Lace It,"Juice WRLD, Eminem & Benny Blanco",,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,93,Hey Driver,Zach Bryan Featuring The War And Treaty,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,94,Feather,Sabrina Carpenter,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,95,Can't Catch Me Now,Olivia Rodrigo,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,96,El Amor de Su Vida,Grupo Frontera & Grupo Firme,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,97,Standing Next To You,Jung Kook,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,98,Man Made A Bar,Morgan Wallen Featuring Eric Church,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,99,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2024-01-06,100,Great Gatsby,Rod Wave,,2025-11-22T14:54:46.536981+00:00
billboard,billboard.com,hot-100,,2023-01-07,1,All I Want For Christmas Is You,Mariah Carey,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,2,Rockin' Around The Christmas Tree,Brenda Lee,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,3,Jingle Bell Rock,Bobby Helms,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,4,Last Christmas,Wham!,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,5,A Holly Jolly Christmas,Burl Ives,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,6,It's The Most Wonderful Time Of The Year,Andy Williams,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,7,Feliz Navidad,Jose Feliciano,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,8,Anti-Hero,Taylor Swift,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,9,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,10,Unholy,Sam Smith & Kim Petras,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,11,Kill Bill,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,12,Santa Tell Me,Ariana Grande,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,13,Sleigh Ride,The Ronettes,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,14,Underneath The Tree,Kelly Clarkson,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,15,Christmas (Baby Please Come Home),Darlene Love,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,16,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,17,Deck The Halls,Nat King Cole,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,18,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,19,I'm Good (Blue),David Guetta & Bebe Rexha,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,20,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,21,Rich Flex,Drake & 21 Savage,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,22,Creepin',"Metro Boomin, The Weeknd & 21 Savage",,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,24,Blue Christmas,Elvis Presley,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,25,It's Beginning To Look A Lot Like Christmas,Michael Buble,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,26,Die For You,The Weeknd & Ariana Grande,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,28,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,29,Little Saint Nick,The Beach Boys,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,30,Bad Habit,Steve Lacy,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,31,As It Was,Harry Styles,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,32,Run Rudolph Run,Chuck Berry,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,33,Wonderful Christmastime,Paul McCartney,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,34,Santa Claus Is Comin' To Town,Jackson 5,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,37,This Christmas,Donny Hathaway,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,38,Cuff It,Beyonce,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,39,Under The Influence,Chris Brown,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,40,Happy Holiday / The Holiday Season,Andy Williams,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,42,Something In The Orange,Zach Bryan,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,43,Please Come Home For Christmas,Eagles,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,44,Merry Christmas,Ed Sheeran & Elton John,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,45,Made You Look,Meghan Trainor,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,46,You Proof,Morgan Wallen,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,48,Have Yourself A Merry Little Christmas,Michael Buble,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,49,Golden Hour,JVKE,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,50,Christmastime Is Here,Vince Guaraldi Trio,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,51,Super Freaky Girl,Nicki Minaj,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,52,Shirt,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,53,Just Wanna Rock,Lil Uzi Vert,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,54,Tomorrow 2,Glorilla & Cardi B,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,55,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,56,Thank God,Kane Brown With Katelyn Brown,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,57,Lift Me Up,Rihanna,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,58,Until I Found You,Stephen Sanchez,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,59,Nobody Gets Me,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,60,Someday At Christmas,Lizzo,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,61,Rock And A Hard Place,Bailey Zimmerman,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,62,Gato de Noche,Nengo Flow & Bad Bunny,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,63,Victoria's Secret,Jax,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,64,Lavender Haze,Taylor Swift,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,65,Low,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,66,Son Of A Sinner,Jelly Roll,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,67,Blind,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,68,What My World Spins Around,Jordan Davis,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,69,Wait In The Truck,HARDY Featuring Lainey Wilson,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,70,"Going, Going, Gone",Luke Combs,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,71,Heart Like A Truck,Lainey Wilson,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,72,Last Christmas,Lauren Spencer Smith,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,73,Blue Christmas,Kane Brown,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,74,Snooze,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,75,Escapism,RAYE Featuring 070 Shake,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,76,"Santa, Can't You Hear Me",Kelly Clarkson & Ariana Grande,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,77,Love Language,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,78,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,79,Calm Down,Rema & Selena Gomez,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,80,Whiskey On You,Nate Smith,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,81,Seek & Destroy,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,82,Hold Me Closer,Elton John & Britney Spears,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,83,Que Vuelvas,Carin Leon X Grupo Frontera,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,84,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,85,Spin Bout U,Drake & 21 Savage,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,86,Used,SZA Featuring Don Toliver,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,87,Romantic Homicide,d4vd,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,88,Circo Loco,Drake & 21 Savage,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,89,Ghost In The Machine,SZA Featuring Phoebe Bridgers,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,90,Down Home,Jimmie Allen,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,91,Bebe Dame,Fuerza Regida X Grupo Frontera,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,92,Special,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,93,No Se Va,Grupo Frontera,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,94,Kid On Christmas,Pentatonix Featuring Meghan Trainor,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,95,One Thing At A Time,Morgan Wallen,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,96,Pick Me Up,Gabby Barrett,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,97,SOS,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,98,Forget Me,Lewis Capaldi,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,99,La Jumpa,Arcangel & Bad Bunny,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-01-07,100,Gone Girl,SZA,,2025-11-22T15:08:01.843069+00:00
billboard,billboard.com,hot-100,,2023-07-01,1,Last Night,Morgan Wallen,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,2,Fast Car,Luke Combs,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,3,Calm Down,Rema & Selena Gomez,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,4,Flowers,Miley Cyrus,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,5,All My Life,Lil Durk Featuring J. Cole,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,6,Favorite Song,Toosii,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,7,Karma,Taylor Swift Featuring Ice Spice,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,8,Kill Bill,SZA,,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,9,Creepin',"Metro Boomin, The Weeknd & 21 Savage",,2025-11-22T15:09:11.302782+00:00
billboard,billboard.com,hot-100,,2023-07-01,10,Ella Baila Sola,Eslabon Armado X Peso Pluma,,2025-11-22T15:09:11.302782+00:00
